absences,failures,Medu,health,Pstatus,famrel,schoolsup,G_avg,studytime,internet_yes,higher_yes,famsup_yes,paid_yes
4,0,4.0,3,1,4,1,7.333333333333333,2,0,1,0,0
2,0,1.0,3,2,5,0,10.333333333333334,2,1,1,1,0
6,0,1.0,3,2,4,1,12.333333333333334,2,1,1,0,0
0,0,3.0,5,2,3,0,14.0,3,1,1,1,0
0,0,3.0,5,2,4,0,12.333333333333334,2,0,1,1,0
0,0,2.0,3,2,4,0,12.666666666666666,2,1,1,0,0
2,0,4.0,1,1,4,1,12.0,2,0,1,1,0
2,0,4.0,2,2,3,0,14.0,2,1,1,1,0
0,0,4.0,5,2,4,0,12.333333333333334,1,1,1,1,0
0,0,2.0,3,1,4,0,14.333333333333334,3,1,1,1,0
6,0,4.0,2,2,4,0,17.0,1,1,1,1,0
10,0,4.0,2,2,3,0,13.333333333333334,3,1,1,1,0
2,0,3.0,4,2,5,1,13.666666666666666,2,0,1,1,0
0,0,4.0,5,2,5,0,11.666666666666666,1,1,1,1,1
0,0,3.0,5,2,4,0,13.0,2,1,1,0,0
2,0,2.0,5,2,5,0,10.0,2,1,1,1,0
2,0,3.0,5,2,4,1,10.333333333333334,3,1,1,1,0
6,0,2.0,5,2,1,0,11.0,1,1,1,1,0
8,0,2.0,5,2,4,0,11.666666666666666,1,1,1,1,0
0,0,3.0,1,2,2,0,11.0,1,1,1,0,0
4,0,4.0,5,2,4,0,11.666666666666666,2,1,1,1,1
0,0,4.0,5,2,5,0,10.666666666666666,2,1,1,1,1
2,0,4.0,5,2,4,0,15.0,2,1,1,1,0
0,0,3.0,2,2,5,0,12.333333333333334,2,1,1,0,0
4,0,4.0,5,1,2,0,13.0,3,1,1,1,0
8,0,2.0,2,2,4,1,13.0,1,0,1,1,0
16,0,2.0,3,2,3,0,10.666666666666666,2,1,1,1,0
8,0,4.0,5,2,5,0,10.666666666666666,1,1,1,1,0
0,0,4.0,5,2,4,0,14.666666666666666,2,1,1,1,0
0,0,2.0,1,2,5,1,9.666666666666666,1,1,1,1,0
14,1,2.0,5,2,4,1,10.666666666666666,2,1,1,0,0
6,0,3.0,3,1,2,0,12.666666666666666,2,1,1,1,0
4,0,3.0,5,2,4,0,12.0,2,0,1,1,0
2,0,4.0,3,2,4,1,12.333333333333334,2,1,1,1,0
0,0,2.0,4,2,4,0,13.333333333333334,2,1,1,1,0
0,0,3.0,5,2,4,0,15.333333333333334,2,1,1,1,0
4,0,3.0,5,1,5,0,9.333333333333334,1,0,1,0,0
0,0,4.0,5,2,3,1,12.333333333333334,1,1,1,1,0
0,0,3.0,1,1,5,0,12.666666666666666,1,1,1,0,0
8,0,4.0,5,2,3,0,15.333333333333334,2,0,1,1,0
2,0,3.0,5,2,4,0,15.666666666666666,2,1,1,1,1
0,0,4.0,4,2,2,0,16.333333333333332,2,0,1,1,0
0,0,1.0,5,2,5,1,12.0,1,1,1,1,0
0,0,4.0,3,1,1,0,11.666666666666666,4,1,1,1,0
0,0,2.0,5,2,4,1,9.666666666666666,4,1,1,1,0
0,0,2.0,4,2,4,1,10.666666666666666,2,1,1,1,0
6,0,2.0,3,2,4,0,15.0,4,1,1,1,0
2,0,2.0,5,2,4,0,11.666666666666666,4,1,1,1,0
0,0,3.0,3,2,3,0,10.0,4,1,1,0,0
2,0,1.0,5,2,3,1,11.666666666666666,2,1,1,1,0
0,0,2.0,5,2,5,0,13.333333333333334,1,0,1,0,0
4,0,3.0,5,2,4,1,11.0,2,1,1,1,0
0,0,2.0,1,2,3,0,11.333333333333334,4,1,1,0,0
1,0,2.0,3,2,5,0,13.0,4,1,1,0,0
2,0,2.0,4,2,5,0,12.666666666666666,2,1,1,0,1
2,0,1.0,4,2,4,0,12.333333333333334,2,1,1,1,0
4,0,4.0,5,2,4,0,11.666666666666666,2,1,1,0,0
6,0,2.0,2,2,4,0,11.666666666666666,2,0,1,1,0
4,0,3.0,1,2,5,0,15.0,3,1,1,1,0
6,0,2.0,3,2,4,0,11.0,2,1,1,0,0
6,0,4.0,5,1,4,0,9.333333333333334,2,0,1,1,0
2,0,3.0,4,2,4,0,10.333333333333334,3,1,1,1,0
0,0,2.0,2,2,3,1,12.333333333333334,2,0,1,1,0
2,0,3.0,1,2,5,0,13.666666666666666,2,1,1,1,0
2,0,2.0,4,2,4,0,11.666666666666666,4,1,1,1,0
4,0,1.0,1,2,3,1,13.0,4,1,1,1,1
4,0,4.0,1,2,5,0,12.666666666666666,1,1,1,0,0
12,0,4.0,4,2,4,1,8.666666666666666,1,1,1,1,0
0,0,4.0,4,2,4,0,16.0,3,1,1,1,0
2,0,4.0,5,2,5,0,12.333333333333334,1,1,1,1,1
10,0,3.0,4,1,4,1,10.0,4,0,1,0,0
4,0,2.0,3,2,5,1,10.0,4,1,1,1,0
4,0,3.0,5,2,5,0,13.666666666666666,3,1,1,1,0
8,0,4.0,1,2,1,0,11.0,4,1,1,1,0
2,0,4.0,4,2,5,0,14.666666666666666,3,1,1,1,0
4,0,4.0,4,1,5,0,13.666666666666666,1,1,1,0,0
4,0,3.0,2,2,4,1,11.0,3,1,1,1,0
12,1,2.0,5,2,3,1,9.333333333333334,2,1,1,0,0
10,0,3.0,3,2,3,0,17.666666666666668,1,1,1,0,0
6,0,4.0,5,2,5,0,14.666666666666666,2,1,1,1,0
4,0,4.0,2,2,4,0,15.666666666666666,2,0,1,1,0
6,0,3.0,5,2,5,0,14.333333333333334,1,1,1,0,0
14,1,2.0,5,2,5,0,11.333333333333334,2,1,1,1,0
6,0,2.0,5,2,5,0,13.333333333333334,4,1,1,1,0
2,0,3.0,5,2,4,0,13.0,2,1,1,1,0
4,0,4.0,5,2,3,0,12.666666666666666,1,1,1,1,0
0,0,2.0,5,2,5,0,11.333333333333334,2,1,1,0,0
8,0,4.0,4,2,3,0,14.333333333333334,1,1,1,0,0
6,0,1.0,4,2,4,0,12.0,1,1,1,1,0
2,0,2.0,5,2,3,0,12.333333333333334,1,1,1,1,0
12,1,2.0,5,1,5,0,11.666666666666666,1,0,1,0,0
4,0,4.0,5,2,4,0,14.0,3,1,1,1,0
0,0,1.0,3,2,5,0,13.333333333333334,2,0,1,1,0
2,0,2.0,4,2,3,0,11.333333333333334,1,1,1,0,0
8,0,1.0,1,2,3,0,11.333333333333334,1,0,1,1,0
4,0,3.0,5,1,4,0,9.333333333333334,1,1,1,1,0
0,2,1.0,5,2,4,0,10.0,2,0,1,0,0
6,0,4.0,5,2,4,0,13.666666666666666,1,1,1,0,0
2,1,1.0,1,2,5,0,8.666666666666666,1,1,1,0,0
24,0,3.0,1,1,1,0,8.666666666666666,2,0,1,0,0
0,0,4.0,5,2,5,0,13.666666666666666,3,1,1,1,0
4,0,2.0,2,2,2,0,11.333333333333334,1,1,1,1,0
2,0,4.0,5,2,4,0,13.0,3,1,1,1,0
4,0,1.0,1,2,3,0,10.666666666666666,1,1,1,0,0
0,0,1.0,5,2,4,0,12.0,2,1,1,1,0
16,0,4.0,5,2,3,0,8.666666666666666,1,1,0,1,0
0,2,1.0,4,2,2,0,6.666666666666667,1,1,0,0,0
2,0,3.0,3,2,4,0,13.0,3,1,1,1,1
0,0,4.0,4,2,4,1,13.0,1,0,1,1,0
6,3,1.0,4,2,5,0,10.666666666666666,1,0,1,1,0
4,0,2.0,3,2,4,0,11.0,1,0,1,0,0
0,1,3.0,5,2,4,0,7.0,2,1,1,1,0
2,1,2.0,2,2,5,0,8.333333333333334,1,1,0,0,0
0,0,1.0,5,2,5,0,8.0,2,0,0,0,0
0,0,2.0,4,2,4,0,10.0,2,1,0,0,0
0,0,3.0,3,2,4,0,17.333333333333332,2,1,1,0,0
0,0,2.0,4,2,5,0,12.333333333333334,2,1,1,1,0
0,0,4.0,3,2,4,0,16.333333333333332,2,1,1,1,0
0,0,4.0,5,2,4,0,10.0,2,1,1,1,0
0,0,2.0,3,2,4,0,13.333333333333334,2,1,1,0,0
0,0,3.0,4,2,4,0,14.333333333333334,2,1,1,1,0
0,0,2.0,5,2,3,0,13.0,2,1,1,0,0
4,0,3.0,4,2,4,0,10.0,2,1,1,0,0
8,0,3.0,3,2,4,0,10.0,1,1,1,1,0
0,0,3.0,3,2,4,0,12.0,2,1,1,0,0
0,0,3.0,5,2,5,0,17.333333333333332,2,0,1,1,0
32,0,3.0,1,2,5,0,13.666666666666666,2,1,1,1,0
6,0,3.0,4,2,4,0,12.666666666666666,2,1,1,1,0
10,0,3.0,3,1,3,0,13.0,2,1,1,1,0
0,0,1.0,3,2,5,0,11.666666666666666,2,1,1,0,0
0,0,3.0,5,2,4,0,10.333333333333334,1,1,1,1,0
8,0,3.0,5,2,4,0,15.0,2,1,1,0,0
4,0,4.0,5,2,5,0,13.333333333333334,1,1,1,0,0
16,0,3.0,3,2,3,0,11.0,1,1,1,1,0
30,1,4.0,2,2,4,0,15.0,1,1,1,1,0
0,0,4.0,3,2,4,0,10.666666666666666,2,1,1,1,0
0,0,1.0,1,2,4,0,14.666666666666666,2,0,1,1,0
21,0,2.0,3,2,5,0,13.0,1,1,1,1,0
6,0,2.0,5,2,5,0,13.0,4,1,1,1,0
2,0,2.0,4,1,2,0,11.333333333333334,2,1,1,1,0
2,0,1.0,5,2,4,0,12.666666666666666,1,0,1,1,0
4,0,3.0,3,2,4,0,12.0,4,1,1,1,0
15,0,4.0,3,2,5,0,12.333333333333334,2,1,1,1,0
0,0,2.0,4,1,3,1,13.0,2,1,1,1,0
10,0,2.0,5,2,4,0,11.333333333333334,2,1,1,1,0
6,0,4.0,3,2,5,0,11.333333333333334,1,0,1,1,0
10,0,3.0,4,2,3,0,10.0,2,1,1,1,0
0,0,2.0,4,2,4,0,12.333333333333334,3,1,1,1,0
12,0,1.0,5,2,4,0,12.0,3,0,1,1,0
9,3,2.0,4,2,3,0,9.666666666666666,2,1,1,1,1
4,0,4.0,5,2,5,0,15.666666666666666,3,1,1,1,0
4,0,2.0,4,2,5,0,8.0,2,1,1,0,0
0,0,2.0,1,2,4,0,12.666666666666666,2,1,1,1,0
0,0,4.0,2,2,4,1,13.0,2,1,1,1,0
0,0,4.0,1,2,4,0,13.333333333333334,2,1,1,1,0
2,0,1.0,5,2,3,0,9.0,2,1,1,1,0
0,0,2.0,4,2,4,0,16.0,2,1,1,0,0
18,1,3.0,3,1,4,0,10.0,2,1,1,1,0
16,1,2.0,5,2,5,0,9.0,2,1,1,1,0
14,1,3.0,3,2,4,0,7.333333333333333,1,1,0,0,0
26,1,2.0,1,2,4,0,7.666666666666667,1,1,0,1,0
6,0,4.0,5,2,4,0,9.0,1,1,1,1,0
10,0,1.0,4,2,4,0,10.333333333333334,3,1,1,1,0
16,0,2.0,2,2,5,0,7.666666666666667,2,1,0,0,0
8,1,2.0,1,1,3,0,10.0,1,1,0,1,0
4,0,1.0,5,2,4,0,14.666666666666666,3,1,1,0,0
4,0,3.0,4,1,4,0,14.333333333333334,2,0,1,1,0
0,0,4.0,4,1,3,0,12.0,2,1,1,1,0
4,0,4.0,5,2,5,0,14.666666666666666,1,1,1,0,1
2,0,4.0,5,2,5,0,11.333333333333334,2,1,1,1,1
2,0,1.0,1,2,4,0,14.0,3,1,1,0,0
10,0,3.0,5,2,4,0,11.0,3,1,1,1,0
10,0,1.0,4,2,4,1,9.666666666666666,2,0,1,0,0
4,0,1.0,5,2,4,0,10.666666666666666,2,0,1,1,0
12,3,2.0,1,2,5,0,6.666666666666667,1,1,0,0,0
8,0,3.0,5,2,4,0,9.666666666666666,2,1,1,1,0
0,0,1.0,5,2,4,0,11.333333333333334,1,1,1,0,0
4,1,3.0,2,2,5,1,10.0,2,1,1,1,0
0,1,1.0,5,2,4,0,9.666666666666666,1,1,1,1,0
2,0,3.0,4,2,4,0,15.333333333333334,4,1,1,1,0
0,0,2.0,5,2,4,0,10.333333333333334,2,1,1,1,0
2,0,3.0,5,2,4,0,12.333333333333334,3,1,1,1,0
4,0,1.0,3,2,4,0,12.333333333333334,3,0,1,1,0
4,0,2.0,5,2,3,1,11.666666666666666,2,0,1,0,0
0,0,2.0,4,2,5,0,9.666666666666666,1,0,0,0,0
2,0,2.0,2,2,3,0,11.0,4,1,1,0,0
2,0,3.0,4,2,3,0,13.333333333333334,3,0,1,0,0
0,0,2.0,3,2,4,0,12.0,3,1,1,1,0
8,0,2.0,4,2,4,0,8.333333333333334,1,1,0,0,0
0,0,2.0,5,2,5,0,12.0,2,1,1,0,0
8,0,4.0,4,2,4,0,11.0,2,1,1,0,0
4,0,3.0,5,2,5,0,12.0,2,1,1,1,0
16,0,3.0,5,2,4,0,11.666666666666666,2,1,1,1,0
2,0,1.0,3,2,4,0,13.0,2,0,1,1,0
6,0,3.0,1,2,4,0,15.666666666666666,2,1,1,1,0
6,0,2.0,5,2,4,1,12.0,2,1,1,1,0
6,0,4.0,3,2,3,0,11.666666666666666,1,1,1,0,0
2,1,4.0,4,2,2,1,13.0,2,1,1,1,0
8,0,2.0,1,2,4,0,14.333333333333334,3,1,1,1,0
2,0,1.0,3,2,5,0,17.333333333333332,4,0,1,1,0
0,0,1.0,4,2,5,1,12.666666666666666,2,1,1,0,0
12,0,2.0,5,2,5,0,12.666666666666666,2,1,1,1,0
0,0,1.0,4,2,4,0,12.0,2,1,1,0,0
0,0,2.0,2,2,4,0,18.0,3,1,1,1,0
0,0,1.0,3,2,4,0,13.333333333333334,3,1,1,1,0
0,0,4.0,2,1,5,0,17.0,2,1,1,1,0
2,0,3.0,5,2,4,0,15.666666666666666,2,1,1,1,0
0,0,2.0,3,2,3,0,18.666666666666668,4,0,1,1,0
0,0,3.0,5,2,4,0,14.666666666666666,1,1,1,1,0
2,0,4.0,2,2,2,0,13.333333333333334,2,1,1,1,0
0,0,4.0,1,2,1,0,17.666666666666668,1,1,1,1,0
0,0,4.0,4,1,4,0,14.666666666666666,2,1,1,1,1
0,0,4.0,5,2,4,0,12.666666666666666,1,1,1,0,0
0,0,4.0,5,2,5,0,7.333333333333333,3,1,1,1,0
0,0,3.0,3,2,4,0,16.0,3,1,1,1,0
0,0,3.0,5,2,4,0,10.333333333333334,2,0,1,0,0
2,0,4.0,5,2,4,0,16.0,1,1,1,0,0
8,0,3.0,3,2,4,0,12.333333333333334,2,1,1,1,0
9,0,3.0,1,2,5,0,10.333333333333334,2,1,1,1,0
0,0,4.0,5,2,4,0,12.0,2,1,1,1,0
2,0,4.0,5,2,5,0,15.333333333333334,1,1,1,0,0
0,0,3.0,5,1,5,1,12.333333333333334,2,1,1,1,0
2,0,4.0,5,2,4,0,9.333333333333334,1,1,1,1,0
12,0,1.0,5,2,1,0,10.333333333333334,3,0,0,0,0
2,2,1.0,4,1,5,0,8.333333333333334,2,1,1,1,0
2,0,2.0,5,2,4,0,10.0,1,1,1,1,0
4,0,2.0,3,2,4,0,13.333333333333334,2,0,1,1,0
0,0,2.0,3,2,3,0,10.666666666666666,3,1,1,1,0
0,0,2.0,5,2,3,0,17.333333333333332,3,1,1,1,0
0,0,1.0,2,2,3,0,14.333333333333334,3,1,1,0,0
0,0,1.0,2,2,4,0,14.0,3,1,1,0,0
0,0,4.0,3,2,4,0,13.333333333333334,3,1,1,0,0
0,0,3.0,5,2,4,0,17.333333333333332,1,1,1,0,0
2,0,2.0,4,2,4,0,10.333333333333334,1,1,1,1,0
0,0,4.0,4,2,5,0,12.666666666666666,3,1,1,1,0
4,0,4.0,4,2,4,0,14.666666666666666,3,1,1,1,0
2,0,3.0,5,2,4,0,11.333333333333334,1,1,1,1,1
0,0,2.0,5,2,4,0,11.333333333333334,4,1,1,1,1
2,0,2.0,2,2,4,0,9.666666666666666,2,0,1,0,0
0,0,3.0,5,2,4,0,15.0,3,1,1,1,0
6,0,2.0,5,2,5,0,14.666666666666666,1,1,1,0,0
8,0,3.0,4,2,5,0,11.0,2,1,1,0,0
0,0,2.0,2,2,4,0,10.333333333333334,2,1,1,0,0
6,0,2.0,4,2,4,0,13.666666666666666,4,0,1,0,0
4,0,3.0,1,2,5,0,14.333333333333334,4,1,1,1,0
0,0,4.0,2,2,4,0,12.333333333333334,2,1,1,1,0
18,0,2.0,4,1,3,0,12.0,2,1,1,1,0
6,1,2.0,3,2,4,0,12.0,1,1,1,1,1
0,2,4.0,5,2,3,0,11.0,3,1,1,0,1
11,0,2.0,3,2,4,0,10.666666666666666,2,1,0,1,0
0,0,2.0,4,2,4,0,15.666666666666666,2,1,1,1,0
2,0,4.0,4,1,4,0,14.0,3,1,1,1,0
0,0,3.0,3,2,4,0,16.0,2,1,1,1,0
21,2,1.0,4,2,5,0,9.666666666666666,2,1,0,1,0
8,0,1.0,3,2,3,0,13.666666666666666,3,1,1,0,0
5,1,4.0,5,2,3,0,10.0,1,1,1,1,0
10,0,2.0,4,1,4,0,16.0,2,1,1,1,0
11,0,2.0,5,2,4,0,10.666666666666666,1,1,0,1,0
0,0,2.0,5,2,4,0,12.0,2,1,1,1,0
6,1,1.0,2,2,4,0,10.0,1,0,1,1,0
4,0,3.0,5,2,5,0,10.333333333333334,1,1,1,1,0
5,0,4.0,2,1,5,0,10.666666666666666,2,0,1,1,0
0,1,1.0,5,2,5,0,6.333333333333333,1,1,0,1,0
0,0,4.0,5,2,1,0,13.666666666666666,1,1,1,0,0
4,0,2.0,1,1,1,0,10.0,4,0,0,0,0
0,0,1.0,4,2,5,0,10.0,2,1,1,1,0
4,1,1.0,2,2,4,0,7.0,1,1,1,1,0
0,0,1.0,2,2,3,0,11.666666666666666,1,0,1,1,0
0,0,3.0,4,2,4,0,15.333333333333334,1,1,1,0,0
0,0,1.0,3,2,5,0,2.3333333333333335,2,0,1,1,0
4,0,1.0,5,2,4,0,8.666666666666666,2,1,1,0,1
8,0,1.0,4,2,5,0,8.333333333333334,2,0,1,1,0
0,0,3.0,5,2,5,0,11.0,2,1,1,1,0
6,0,4.0,4,2,4,0,16.333333333333332,3,1,1,0,0
4,0,2.0,4,2,4,0,10.0,2,1,1,1,0
0,0,1.0,2,2,5,0,14.0,2,0,1,1,0
0,0,1.0,1,2,4,0,12.0,4,1,1,1,0
2,0,1.0,5,2,4,1,9.666666666666666,3,0,1,1,0
1,0,1.0,2,2,4,0,10.666666666666666,2,1,1,1,0
0,0,1.0,2,2,4,0,13.0,1,1,1,0,0
0,0,1.0,2,2,4,0,13.666666666666666,2,0,1,1,0
2,0,2.0,5,2,4,1,12.333333333333334,3,0,1,1,0
6,0,1.0,5,2,3,0,11.0,1,0,1,0,0
0,0,2.0,4,2,3,0,10.0,1,0,1,1,0
1,0,2.0,2,2,5,0,13.666666666666666,2,1,1,1,0
1,0,2.0,4,2,4,0,12.666666666666666,1,0,1,0,0
0,0,4.0,3,2,4,0,12.666666666666666,2,0,1,1,0
4,0,3.0,1,2,4,0,12.333333333333334,2,1,1,1,0
2,1,2.0,5,2,4,0,11.666666666666666,2,0,1,1,0
0,0,2.0,4,2,4,0,14.666666666666666,1,0,1,1,0
2,0,2.0,3,2,4,0,10.666666666666666,1,1,1,1,0
0,0,2.0,4,2,5,0,13.0,3,0,1,1,0
11,0,3.0,3,2,4,0,11.0,1,1,1,1,0
0,3,1.0,1,2,3,1,7.333333333333333,2,0,1,1,0
4,0,2.0,5,2,4,0,9.333333333333334,1,0,0,1,0
0,0,1.0,4,2,5,0,9.333333333333334,1,0,0,1,0
1,0,2.0,1,2,3,0,10.0,2,1,0,1,0
6,0,2.0,1,1,4,0,7.333333333333333,1,0,0,1,0
0,0,2.0,4,2,4,0,10.666666666666666,2,1,1,1,0
1,1,2.0,3,2,4,0,9.666666666666666,1,1,1,1,1
6,1,1.0,3,2,5,0,8.333333333333334,3,0,0,0,0
0,1,1.0,4,2,4,0,9.0,1,1,0,0,0
4,1,1.0,2,2,3,0,10.0,1,1,0,0,0
12,1,1.0,1,2,1,0,8.0,2,1,1,1,0
2,0,2.0,3,1,3,0,9.333333333333334,2,0,1,0,0
0,0,3.0,4,2,4,0,13.333333333333334,1,1,0,0,0
2,0,1.0,4,2,4,0,14.0,1,1,1,1,0
0,1,3.0,5,2,5,0,10.333333333333334,4,0,1,1,1
0,0,2.0,5,2,4,0,16.333333333333332,1,0,1,1,1
2,1,2.0,3,2,1,0,9.0,4,0,1,1,0
0,0,1.0,5,2,2,1,14.0,4,1,1,1,0
0,0,2.0,1,2,5,0,12.666666666666666,3,1,1,0,0
0,0,1.0,5,2,4,0,11.0,1,1,1,1,0
8,1,3.0,3,2,3,0,10.0,2,1,1,0,0
0,0,1.0,3,2,4,0,10.666666666666666,3,0,1,1,0
0,1,2.0,5,2,4,0,9.333333333333334,1,1,1,1,0
0,0,1.0,1,2,5,0,17.0,2,0,1,1,0
0,0,2.0,1,2,5,0,16.333333333333332,2,0,1,1,0
9,1,1.0,5,2,4,0,7.0,2,1,1,1,0
0,0,2.0,1,2,3,0,7.333333333333333,1,1,1,0,0
8,0,1.0,3,2,2,1,9.0,2,0,1,0,0
0,0,4.0,2,2,4,0,15.333333333333334,2,1,1,0,0
8,1,3.0,1,1,2,0,7.0,2,1,1,1,0
6,0,1.0,5,2,4,0,7.333333333333333,2,1,1,1,0
4,0,4.0,3,2,4,0,8.0,2,1,1,1,0
2,0,4.0,5,2,5,0,5.666666666666667,4,1,0,1,0
0,0,4.0,5,2,4,0,15.0,3,1,1,1,0
0,0,2.0,3,2,5,0,9.666666666666666,3,0,1,0,0
5,0,2.0,5,2,5,0,9.0,1,1,1,1,1
1,0,4.0,5,2,5,0,11.0,1,0,1,1,0
8,0,3.0,3,2,4,0,8.666666666666666,1,1,1,1,0
0,0,1.0,1,2,5,0,10.0,2,1,1,0,0
0,0,4.0,5,2,4,0,11.666666666666666,1,1,1,1,0
8,0,2.0,5,1,5,0,13.666666666666666,4,0,1,1,0
2,0,2.0,5,2,4,0,11.0,3,0,1,1,0
0,0,2.0,5,2,5,1,10.333333333333334,2,0,1,0,1
1,0,4.0,5,2,5,0,11.0,3,1,1,1,0
2,3,4.0,5,2,3,0,8.666666666666666,1,1,1,0,0
2,0,2.0,5,2,5,0,11.666666666666666,1,0,1,0,0
0,0,4.0,5,2,5,0,14.666666666666666,2,1,1,1,0
2,0,1.0,3,1,4,0,10.666666666666666,2,1,1,0,0
0,0,3.0,5,2,4,1,17.666666666666668,2,1,1,1,0
0,0,2.0,5,1,4,0,12.666666666666666,2,1,1,1,0
2,2,1.0,4,2,4,0,9.333333333333334,2,1,0,1,0
3,0,1.0,4,2,3,0,10.333333333333334,1,1,0,1,0
2,3,2.0,5,2,5,0,8.666666666666666,2,1,1,1,0
0,0,2.0,5,2,5,0,10.333333333333334,1,0,0,0,0
0,0,1.0,2,2,4,0,9.666666666666666,1,1,1,1,0
6,0,1.0,5,2,4,0,9.666666666666666,2,0,1,1,0
0,0,2.0,1,2,5,0,12.0,2,0,1,0,0
0,1,2.0,5,2,1,0,2.3333333333333335,1,0,1,0,0
0,0,1.0,5,2,4,0,9.666666666666666,1,1,1,0,0
2,1,1.0,5,2,5,0,8.333333333333334,1,1,0,1,0
9,2,3.0,3,2,4,0,6.666666666666667,2,1,0,1,0
6,0,2.0,4,2,5,0,7.666666666666667,1,1,1,1,0
9,0,1.0,5,2,4,0,8.666666666666666,1,0,1,1,0
12,1,1.0,4,2,4,0,9.666666666666666,1,1,0,1,0
8,1,1.0,2,2,5,0,10.0,2,1,1,0,0
4,1,3.0,3,2,4,0,9.0,2,1,1,1,0
0,0,2.0,3,2,4,0,9.333333333333334,1,1,0,0,0
4,1,1.0,5,2,4,0,9.0,1,1,1,1,0
0,0,1.0,5,1,1,0,7.0,1,0,0,1,0
0,1,2.0,3,2,5,0,4.666666666666667,1,1,0,0,0
0,0,0.0,5,2,4,0,10.666666666666666,1,1,1,1,0
5,0,2.0,3,1,4,0,7.666666666666667,3,0,0,1,1
0,0,3.0,5,2,5,1,5.333333333333333,2,1,1,1,0
3,1,2.0,4,2,2,0,7.0,2,1,1,1,0
3,2,1.0,5,2,3,0,7.333333333333333,2,0,1,0,0
2,0,2.0,1,2,4,0,13.0,2,1,1,0,0
0,0,3.0,4,2,4,0,12.0,1,1,1,1,0
0,0,4.0,1,2,4,0,18.0,2,1,1,0,0
3,0,4.0,5,2,5,0,17.0,1,1,1,1,0
0,0,3.0,4,2,4,0,17.666666666666668,2,1,1,1,0
0,1,2.0,4,2,4,0,3.0,2,0,1,0,0
5,0,4.0,1,2,2,0,13.0,1,1,1,1,1
4,0,1.0,4,2,4,0,13.0,1,0,0,0,0
4,0,2.0,2,2,1,0,8.666666666666666,2,1,1,1,0
0,0,2.0,3,2,5,0,12.0,3,1,1,0,0
0,0,3.0,5,1,5,0,1.6666666666666667,2,1,1,0,0
2,1,1.0,2,2,4,0,9.666666666666666,2,0,0,0,0
0,1,1.0,2,2,5,0,1.6666666666666667,1,0,0,0,0
0,0,3.0,5,2,4,0,18.0,4,1,1,0,0
2,0,1.0,3,1,5,0,9.666666666666666,2,0,1,0,0
0,3,1.0,1,1,3,0,2.6666666666666665,2,0,0,1,0
5,0,2.0,4,2,4,0,14.333333333333334,3,1,1,0,0
0,0,3.0,5,2,5,0,10.0,2,0,1,1,0
2,0,4.0,5,2,4,0,12.0,2,1,1,1,1
2,0,1.0,3,2,3,0,13.666666666666666,1,1,1,0,0
0,0,1.0,4,2,5,0,18.0,3,1,1,0,0
6,0,3.0,3,2,4,0,12.666666666666666,2,1,1,1,0
4,0,4.0,1,2,2,0,14.666666666666666,2,1,1,1,0
0,0,2.0,3,2,3,0,9.0,2,0,1,1,1
0,0,4.0,5,2,4,0,15.666666666666666,3,1,1,0,0
0,1,1.0,1,2,5,0,8.333333333333334,1,1,1,1,0
0,0,4.0,5,2,3,0,4.0,2,1,1,1,0
8,0,2.0,3,2,3,0,11.0,3,0,1,0,0
0,0,4.0,1,2,5,0,16.333333333333332,3,1,1,0,0
4,0,1.0,4,2,4,0,11.0,3,1,1,0,0
4,1,1.0,3,2,4,0,8.0,2,1,1,1,0
1,0,4.0,2,2,5,0,13.666666666666666,2,1,1,0,0
1,0,3.0,1,2,4,0,16.0,2,1,1,0,0
10,0,2.0,1,2,4,0,8.666666666666666,2,1,1,1,0
4,0,4.0,2,2,3,0,18.0,2,1,1,0,0
0,1,1.0,5,2,4,0,4.333333333333333,1,0,1,0,0
0,1,3.0,3,2,5,0,4.666666666666667,1,0,1,0,1
0,0,2.0,4,2,5,0,15.333333333333334,3,0,1,0,0
4,0,4.0,5,2,4,0,8.666666666666666,1,1,1,1,0
4,0,2.0,1,2,4,0,15.333333333333334,2,1,1,1,0
6,0,1.0,5,2,1,0,10.666666666666666,2,0,1,0,0
6,0,2.0,2,2,2,0,10.0,1,1,1,0,0
